"","X","lng","lat","order","piece","id","group","Quantity","Year","From","To"
"538",538,13.0318751201206,52.453843373043,10,1,25,25.1,29,2013,"Czech Republic","Denmark"
"539",539,12.7983738676732,52.7521402928671,11,1,25,25.1,29,2013,"Czech Republic","Denmark"
"540",540,12.561655455648,53.0499724065585,12,1,25,25.1,29,2013,"Czech Republic","Denmark"
"541",541,12.3216451232575,53.3473281607668,13,1,25,25.1,29,2013,"Czech Republic","Denmark"
"542",542,12.078266034392,53.6441956454752,14,1,25,25.1,29,2013,"Czech Republic","Denmark"
"543",543,11.8314392130802,53.9405625808649,15,1,25,25.1,29,2013,"Czech Republic","Denmark"
"544",544,11.5810834770399,54.2364163036409,16,1,25,25.1,29,2013,"Czech Republic","Denmark"
"545",545,11.3271153692902,54.5317437527971,17,1,25,25.1,29,2013,"Czech Republic","Denmark"
"546",546,11.0694490877995,54.8265314547978,18,1,25,25.1,29,2013,"Czech Republic","Denmark"
"547",547,10.807996413148,55.1207655081487,19,1,25,25.1,29,2013,"Czech Republic","Denmark"
"548",548,10.5426666341889,55.414431567334,20,1,25,25.1,29,2013,"Czech Republic","Denmark"
"549",549,10.273366471697,55.7075148260919,21,1,25,25.1,29,2013,"Czech Republic","Denmark"
"550",550,10,56,22,1,25,25.1,29,2013,"Czech Republic","Denmark"
"617",617,15,49.75,1,1,29,29.1,862,2013,"Czech Republic","Italy"
"618",618,14.8834171003575,49.4216333123858,2,1,29,29.1,862,2013,"Czech Republic","Italy"
"619",619,14.7683843864989,49.09315098416,3,1,29,29.1,862,2013,"Czech Republic","Italy"
"620",620,14.6548642526012,48.7645558598686,4,1,29,29.1,862,2013,"Czech Republic","Italy"
"621",621,14.542820234387,48.4358506960449,5,1,29,29.1,862,2013,"Czech Republic","Italy"
"622",622,14.4322169661826,48.1070381645975,6,1,29,29.1,862,2013,"Czech Republic","Italy"
"623",623,14.3230201398615,47.7781208560459,7,1,29,29.1,862,2013,"Czech Republic","Italy"
"624",624,14.2151964655778,47.4491012826102,8,1,29,29.1,862,2013,"Czech Republic","Italy"
